Designator,Mid X,Mid Y,Rotation,Layer
D1,52.624358,-73.782992,90.0,bottom
D10,109.928773,-76.020824,90.0,bottom
D11,107.607162,-94.928829,90.0,bottom
D12,105.285551,-113.836833,90.0,bottom
D13,102.952683,-132.743055,90.0,bottom
D14,128.836777,-78.342435,90.0,bottom
D15,126.515167,-97.25044,90.0,bottom
D16,124.193556,-116.158445,90.0,bottom
D17,121.868554,-135.053969,90.0,bottom
D18,159.750332,-78.342435,90.0,bottom
D19,162.071943,-97.25044,90.0,bottom
D2,50.302747,-92.690996,90.0,bottom
D20,164.393552,-116.158444,90.0,bottom
D21,185.738555,-132.513969,90.0,bottom
D22,178.658335,-76.020825,90.0,bottom
D23,180.979946,-94.928829,90.0,bottom
D24,183.301557,-113.836832,90.0,bottom
D25,202.098554,-132.75397,90.0,bottom
D26,196.985937,-68.972212,90.0,bottom
D27,199.307547,-89.150216,90.0,bottom
D28,201.629158,-106.788221,90.0,bottom
D29,216.474344,-71.377604,90.0,bottom
D3,49.251137,-103.979001,90.0,bottom
D30,218.795954,-90.285606,90.0,bottom
D31,221.117566,-109.193611,90.0,bottom
D32,235.962749,-73.782992,90.0,bottom
D33,238.284361,-92.690996,90.0,bottom
D34,239.462972,-103.979001,90.0,bottom
D35,152.675556,-83.543971,90.0,bottom
D36,140.925683,-135.033969,90.0,bottom
D37,163.277683,-135.03397,90.0,bottom
D38,120.565873,-69.4903,353.0,bottom
D39,110.929617,-69.574592,263.0,top
D4,72.112766,-71.377602,90.0,bottom
D40,101.657869,-67.168689,353.0,bottom
D41,83.330269,-60.120077,353.0,bottom
D42,63.841863,-62.525467,353.0,bottom
D43,44.353454,-64.930857,353.0,bottom
D44,38.161683,-78.885286,173.0,top
D45,42.031843,-83.838862,173.0,bottom
D46,59.19864,-100.341476,353.0,bottom
D47,78.687046,-97.936088,353.0,bottom
D48,97.014647,-104.984699,353.0,bottom
D49,115.922652,-107.306311,353.0,bottom
D5,69.791156,-90.285605,90.0,bottom
D50,118.244263,-88.398305,173.0,bottom
D51,99.336258,-86.076694,173.0,bottom
D52,81.008658,-79.028082,173.0,bottom
D53,61.520251,-81.433473,173.0,bottom
D54,39.710235,-102.746867,353.0,bottom
D55,48.429058,-109.895207,263.0,top
D56,87.331683,-122.583055,83.0,top
D57,94.693085,-123.892309,173.0,bottom
D58,113.59765,-126.201835,173.0,bottom
D59,133.228555,-127.413969,180.0,bottom
D6,68.739543,-101.573611,90.0,bottom
D60,144.293554,-136.143969,270.0,top
D61,155.428553,-127.413969,180.0,bottom
D62,191.572462,-104.984698,7.0,bottom
D63,209.900061,-97.936088,7.0,bottom
D64,229.388469,-100.341475,7.0,bottom
D65,248.876876,-102.746867,7.0,bottom
D66,240.158051,-109.895206,277.0,top
D67,201.209554,-122.59397,97.0,top
D68,193.859459,-123.901834,187.0,bottom
D69,174.959458,-126.201835,187.0,bottom
D7,91.601172,-68.972213,90.0,bottom
D70,172.664457,-107.30631,7.0,bottom
D71,170.342846,-88.398305,187.0,bottom
D72,189.250851,-86.076693,187.0,bottom
D73,207.57845,-79.028081,187.0,bottom
D74,227.066858,-81.433471,187.0,bottom
D75,246.555265,-83.838862,187.0,bottom
D76,250.425422,-78.885285,7.0,top
D77,244.233653,-64.930857,7.0,bottom
D78,144.390733,-103.162674,0.0,top
D79,144.293554,-75.669969,180.0,bottom
D8,89.279561,-87.880216,90.0,bottom
D80,168.021236,-69.490301,7.0,bottom
D81,177.552625,-68.959762,277.0,top
D82,186.929239,-67.16869,7.0,bottom
D83,205.256841,-60.120077,7.0,bottom
D84,224.745247,-62.525468,7.0,bottom
D9,86.95795,-106.788222,90.0,bottom
J1,89.018982,-55.262608,96.5,top
J2,140.493554,-91.543969,90.0,top
J3,108.428868,-57.55795,187.0,bottom
R7,150.958683,-91.595055,270.0,bottom
R8,137.623683,-91.595055,270.0,bottom
SW1,144.293554,-96.993969,0.0,bottom
SW10,78.06795,-102.978222,173.0,top
SW11,101.038773,-72.210824,173.0,top
SW12,98.717162,-91.118829,173.0,top
SW13,96.395551,-110.026833,173.0,top
SW14,94.062683,-128.933055,173.0,top
SW15,119.946777,-74.532435,173.0,top
SW16,117.625167,-93.44044,173.0,top
SW17,115.303556,-112.348445,173.0,top
SW18,112.978554,-131.243969,173.0,top
SW19,168.640332,-74.532435,187.0,top
SW2,43.734358,-69.972992,173.0,top
SW20,170.961943,-93.44044,187.0,top
SW21,173.283552,-112.348444,187.0,top
SW22,175.578555,-131.243969,187.0,top
SW23,187.548335,-72.210825,187.0,top
SW24,189.869946,-91.118829,187.0,top
SW25,192.191557,-110.026832,187.0,top
SW26,194.478554,-128.94397,187.0,top
SW27,205.875937,-65.162212,187.0,top
SW28,208.197547,-84.070216,187.0,top
SW29,210.519158,-102.978221,187.0,top
SW3,41.412747,-88.880996,173.0,top
SW30,225.364344,-67.567604,187.0,top
SW31,227.685954,-86.475606,187.0,top
SW32,230.007566,-105.383611,187.0,top
SW33,244.852749,-69.972992,187.0,top
SW34,247.174361,-88.880996,187.0,top
SW35,249.495972,-107.789001,187.0,top
SW36,146.793556,-72.483971,270.0,top
SW37,144.293555,-79.73397,180.0,top
SW38,133.228554,-132.493969,180.0,top
SW39,155.428554,-132.49397,180.0,top
SW4,39.091137,-107.789001,173.0,top
SW5,63.222766,-67.567602,173.0,top
SW6,60.901156,-86.475605,173.0,top
SW7,58.579543,-105.383611,173.0,top
SW8,82.711172,-65.162213,173.0,top
SW9,80.389561,-84.070216,173.0,top
U1,145.294101,-56.623776,186.5,bottom
U2,144.478557,-117.39397,0.0,bottom
